prime,roman,len
1,I,1
2,II,2
3,III,3
5,V,1
7,VII,3
11,XI,2
13,XIII,4
17,XVII,4
19,XIX,3
23,XXIII,5
29,XXIX,4
31,XXXI,4
37,XXXVII,6
41,XLI,3
43,XLIII,5
47,XLVII,5
53,LIII,4
59,LIX,3
61,LXI,3
67,LXVII,5
71,LXXI,4
73,LXXIII,6
79,LXXIX,5
83,LXXXIII,7
89,LXXXIX,6
97,XCVII,5
101,CI,2
103,CIII,4
107,CVII,4
109,CIX,3
113,CXIII,5
127,CXXVII,6
131,CXXXI,5
137,CXXXVII,7
139,CXXXIX,6
149,CXLIX,5
151,CLI,3
157,CLVII,5
163,CLXIII,6
167,CLXVII,6
173,CLXXIII,7
179,CLXXIX,6
181,CLXXXI,6
191,CXCI,4
193,CXCIII,6
197,CXCVII,6
199,CXCIX,5
211,CCXI,4
223,CCXXIII,7
227,CCXXVII,7
229,CCXXIX,6
233,CCXXXIII,8
239,CCXXXIX,7
241,CCXLI,5
251,CCLI,4
257,CCLVII,6
263,CCLXIII,7
269,CCLXIX,6
271,CCLXXI,6
277,CCLXXVII,8
281,CCLXXXI,7
283,CCLXXXIII,9
293,CCXCIII,7
307,CCCVII,6
311,CCCXI,5
313,CCCXIII,7
317,CCCXVII,7
331,CCCXXXI,7
337,CCCXXXVII,9
347,CCCXLVII,8
349,CCCXLIX,7
353,CCCLIII,7
359,CCCLIX,6
367,CCCLXVII,8
373,CCCLXXIII,9
379,CCCLXXIX,8
383,CCCLXXXIII,10
389,CCCLXXXIX,9
397,CCCXCVII,8
401,CDI,3
409,CDIX,4
419,CDXIX,5
421,CDXXI,5
431,CDXXXI,6
433,CDXXXIII,8
439,CDXXXIX,7
443,CDXLIII,7
449,CDXLIX,6
457,CDLVII,6
461,CDLXI,5
463,CDLXIII,7
467,CDLXVII,7
479,CDLXXIX,7
487,CDLXXXVII,9
491,CDXCI,5
499,CDXCIX,6
503,DIII,4
509,DIX,3
521,DXXI,4
523,DXXIII,6
541,DXLI,4
547,DXLVII,6
557,DLVII,5
563,DLXIII,6
569,DLXIX,5
571,DLXXI,5
577,DLXXVII,7
587,DLXXXVII,8
593,DXCIII,6
599,DXCIX,5
601,DCI,3
607,DCVII,5
613,DCXIII,6
617,DCXVII,6
619,DCXIX,5
631,DCXXXI,6
641,DCXLI,5
643,DCXLIII,7
647,DCXLVII,7
653,DCLIII,6
659,DCLIX,5
661,DCLXI,5
673,DCLXXIII,8
677,DCLXXVII,8
683,DCLXXXIII,9
691,DCXCI,5
701,DCCI,4
709,DCCIX,5
719,DCCXIX,6
727,DCCXXVII,8
733,DCCXXXIII,9
739,DCCXXXIX,8
743,DCCXLIII,8
751,DCCLI,5
757,DCCLVII,7
761,DCCLXI,6
769,DCCLXIX,7
773,DCCLXXIII,9
787,DCCLXXXVII,10
797,DCCXCVII,8
809,DCCCIX,6
811,DCCCXI,6
821,DCCCXXI,7
823,DCCCXXIII,9
827,DCCCXXVII,9
829,DCCCXXIX,8
839,DCCCXXXIX,9
853,DCCCLIII,8
857,DCCCLVII,8
859,DCCCLIX,7
863,DCCCLXIII,9
877,DCCCLXXVII,10
881,DCCCLXXXI,9
883,DCCCLXXXIII,11
887,DCCCLXXXVII,11
907,CMVII,5
911,CMXI,4
919,CMXIX,5
929,CMXXIX,6
937,CMXXXVII,8
941,CMXLI,5
947,CMXLVII,7
953,CMLIII,6
967,CMLXVII,7
971,CMLXXI,6
977,CMLXXVII,8
983,CMLXXXIII,9
991,CMXCI,5
997,CMXCVII,7
1009,MIX,3
1013,MXIII,5
1019,MXIX,4
1021,MXXI,4
1031,MXXXI,5
1033,MXXXIII,7
1039,MXXXIX,6
1049,MXLIX,5
1051,MLI,3
1061,MLXI,4
1063,MLXIII,6
1069,MLXIX,5
1087,MLXXXVII,8
1091,MXCI,4
1093,MXCIII,6
1097,MXCVII,6
1103,MCIII,5
1109,MCIX,4
1117,MCXVII,6
1123,MCXXIII,7
1129,MCXXIX,6
1151,MCLI,4
1153,MCLIII,6
1163,MCLXIII,7
1171,MCLXXI,6
1181,MCLXXXI,7
1187,MCLXXXVII,9
1193,MCXCIII,7
1201,MCCI,4
1213,MCCXIII,7
1217,MCCXVII,7
1223,MCCXXIII,8
1229,MCCXXIX,7
1231,MCCXXXI,7
1237,MCCXXXVII,9
1249,MCCXLIX,7
1259,MCCLIX,6
1277,MCCLXXVII,9
1279,MCCLXXIX,8
1283,MCCLXXXIII,10
1289,MCCLXXXIX,9
1291,MCCXCI,6
1297,MCCXCVII,8
1301,MCCCI,5
1303,MCCCIII,7
1307,MCCCVII,7
1319,MCCCXIX,7
1321,MCCCXXI,7
1327,MCCCXXVII,9
1361,MCCCLXI,7
1367,MCCCLXVII,9
1373,MCCCLXXIII,10
1381,MCCCLXXXI,9
1399,MCCCXCIX,8
1409,MCDIX,5
1423,MCDXXIII,8
1427,MCDXXVII,8
1429,MCDXXIX,7
1433,MCDXXXIII,9
1439,MCDXXXIX,8
1447,MCDXLVII,8
1451,MCDLI,5
1453,MCDLIII,7
1459,MCDLIX,6
1471,MCDLXXI,7
1481,MCDLXXXI,8
1483,MCDLXXXIII,10
1487,MCDLXXXVII,10
1489,MCDLXXXIX,9
1493,MCDXCIII,8
1499,MCDXCIX,7
1511,MDXI,4
1523,MDXXIII,7
1531,MDXXXI,6
1543,MDXLIII,7
1549,MDXLIX,6
1553,MDLIII,6
1559,MDLIX,5
1567,MDLXVII,7
1571,MDLXXI,6
1579,MDLXXIX,7
1583,MDLXXXIII,9
1597,MDXCVII,7
1601,MDCI,4
1607,MDCVII,6
1609,MDCIX,5
1613,MDCXIII,7
1619,MDCXIX,6
1621,MDCXXI,6
1627,MDCXXVII,8
1637,MDCXXXVII,9
1657,MDCLVII,7
1663,MDCLXIII,8
1667,MDCLXVII,8
1669,MDCLXIX,7
1693,MDCXCIII,8
1697,MDCXCVII,8
1699,MDCXCIX,7
1709,MDCCIX,6
1721,MDCCXXI,7
1723,MDCCXXIII,9
1733,MDCCXXXIII,10
1741,MDCCXLI,7
1747,MDCCXLVII,9
